CLI FLAGS EXTRACTED FROM /root/dbbackup/cmd/*.go
================================================
FLAG_NAME | TYPE | DEFAULT | REGISTERED_IN
xtrabackup-throttle | int | 0 | singleCmd+clusterCmd
xtrabackup-no-lock | bool | false | singleCmd+clusterCmd
xtrabackup-slave-info | bool | false | singleCmd+clusterCmd
xtrabackup-safe-slave | bool | false | singleCmd+clusterCmd
xtrabackup-galera-info | bool | false | singleCmd+clusterCmd
xtrabackup-stream | string | "" | singleCmd+clusterCmd
xtrabackup-compress | string | "" | singleCmd+clusterCmd
xtrabackup-compress-threads | int | 0 | singleCmd+clusterCmd
xtrabackup-encrypt | string | "" | singleCmd+clusterCmd
xtrabackup-encrypt-key-file | string | "" | singleCmd+clusterCmd
xtrabackup-incremental-basedir | string | "" | singleCmd+clusterCmd
xtrabackup-incremental-lsn | string | "" | singleCmd+clusterCmd
xtrabackup-extra-args | string | "" | singleCmd+clusterCmd

=== BACKUP SAMPLE FLAGS (cmd/backup.go - sampleCmd) ===
sample-strategy | string | "ratio" | sampleCmd
sample-value | int | 10 | sampleCmd
sample-ratio | int | 0 | sampleCmd
sample-percent | int | 0 | sampleCmd
sample-count | int | 0 | sampleCmd

=== BACKUP DIFF FLAGS (cmd/backup_diff.go) ===
format | string | "table" | diffCmd
verbose | bool | false | diffCmd
show | string | "all" | diffCmd

=== BLOB BACKUP FLAGS (cmd/blob.go - blobBackupCmd) ===
output | string | "" | blobBackupCmd
workers | int | 8 | blobBackupCmd
bundle-size | int | 1024 | blobBackupCmd
detect-types | bool | true | blobBackupCmd
skip-compress-images | bool | true | blobBackupCmd
compress-mode | string | "auto" | blobBackupCmd
split | bool | false | blobBackupCmd
threshold | int64 | 1048576 | blobBackupCmd
streams | int | 4 | blobBackupCmd
dedup | bool | false | blobBackupCmd
dedup-expected | int | 5000000 | blobBackupCmd

=== BLOB RESTORE FLAGS (cmd/blob.go - blobRestoreCmd) ===
input | string | "" | blobRestoreCmd
workers | int | 8 | blobRestoreCmd

=== CATALOG PERSISTENT FLAGS (cmd/catalog.go - catalogCmd) ===
catalog-db | string | defaultCatalogPath | catalogCmd (PersistentFlags)
format | string | "table" | catalogCmd (PersistentFlags)

=== CATALOG SYNC FLAGS (cmd/catalog.go - catalogSyncCmd) ===
verbose | bool | false | catalogSyncCmd

=== CATALOG LIST FLAGS (cmd/catalog.go - catalogListCmd) ===
limit | int | 50 | catalogListCmd
database | string | "" | catalogListCmd

=== CATALOG STATS FLAGS (cmd/catalog.go - catalogStatsCmd) ===
database | string | "" | catalogStatsCmd

=== CATALOG GAPS FLAGS (cmd/catalog.go - catalogGapsCmd) ===
interval | string | "24h" | catalogGapsCmd
after | string | "" | catalogGapsCmd
before | string | "" | catalogGapsCmd

=== CATALOG SEARCH FLAGS (cmd/catalog.go - catalogSearchCmd) ===
database | string | "" | catalogSearchCmd
after | string | "" | catalogSearchCmd
before | string | "" | catalogSearchCmd
limit | int | 100 | catalogSearchCmd
verified | bool | false | catalogSearchCmd
encrypted | bool | false | catalogSearchCmd
drill-tested | bool | false | catalogSearchCmd

=== CATALOG PRUNE FLAGS (cmd/catalog.go - catalogPruneCmd) ===
missing | bool | false | catalogPruneCmd
older-than | string | "" | catalogPruneCmd
status | string | "" | catalogPruneCmd
dry-run | bool | false | catalogPruneCmd
database | string | "" | catalogPruneCmd
policy | string | "" | catalogPruneCmd
keep-daily | int | 7 | catalogPruneCmd
keep-weekly | int | 4 | catalogPruneCmd
keep-monthly | int | 12 | catalogPruneCmd
keep-yearly | int | 3 | catalogPruneCmd
delete-files | bool | false | catalogPruneCmd

=== CATALOG GENERATE FLAGS (cmd/catalog.go - catalogGenerateCmd) ===
verbose | bool | false | catalogGenerateCmd
force | bool | false | catalogGenerateCmd

=== CATALOG CHECK FLAGS (cmd/catalog_check.go) ===
verbose | bool | false | catalogCheckCmd
fix | bool | false | catalogCheckCmd

=== CATALOG EXPORT FLAGS (cmd/catalog_export.go) ===
output | string | "" | catalogExportCmd
format | string | "csv" | catalogExportCmd
database | string | "" | catalogExportCmd
after | string | "" | catalogExportCmd
before | string | "" | catalogExportCmd

=== CHAIN FLAGS (cmd/chain.go) ===
format | string | "table" | chainCmd
all | bool | false | chainCmd
verbose | bool | false | chainCmd

=== CLEANUP FLAGS (cmd/cleanup.go) ===
retention-days | int | 30 | cleanupCmd
min-backups | int | 5 | cleanupCmd
dry-run | bool | false | cleanupCmd
pattern | string | "" | cleanupCmd
gfs | bool | false | cleanupCmd
gfs-daily | int | 7 | cleanupCmd
gfs-weekly | int | 4 | cleanupCmd
gfs-monthly | int | 12 | cleanupCmd
gfs-yearly | int | 3 | cleanupCmd
gfs-weekly-day | string | "Sunday" | cleanupCmd
gfs-monthly-day | int | 1 | cleanupCmd

=== CLOUD UPLOAD/DOWNLOAD/LIST/DELETE COMMON FLAGS (cmd/cloud.go) ===
cloud-provider | string | env:DBBACKUP_CLOUD_PROVIDER/"s3" | cloudUploadCmd+cloudDownloadCmd+cloudListCmd+cloudDeleteCmd
cloud-bucket | string | env:DBBACKUP_CLOUD_BUCKET/"" | cloudUploadCmd+cloudDownloadCmd+cloudListCmd+cloudDeleteCmd
cloud-region | string | env:DBBACKUP_CLOUD_REGION/"us-east-1" | cloudUploadCmd+cloudDownloadCmd+cloudListCmd+cloudDeleteCmd
cloud-endpoint | string | env:DBBACKUP_CLOUD_ENDPOINT/"" | cloudUploadCmd+cloudDownloadCmd+cloudListCmd+cloudDeleteCmd
cloud-access-key | string | env:DBBACKUP_CLOUD_ACCESS_KEY/"" | cloudUploadCmd+cloudDownloadCmd+cloudListCmd+cloudDeleteCmd
cloud-secret-key | string | env:DBBACKUP_CLOUD_SECRET_KEY/"" | cloudUploadCmd+cloudDownloadCmd+cloudListCmd+cloudDeleteCmd
cloud-prefix | string | env:DBBACKUP_CLOUD_PREFIX/"" | cloudUploadCmd+cloudDownloadCmd+cloudListCmd+cloudDeleteCmd
bandwidth-limit | string | env:DBBACKUP_BANDWIDTH_LIMIT/"" | cloudUploadCmd+cloudDownloadCmd+cloudListCmd+cloudDeleteCmd
verbose | bool | false | cloudUploadCmd+cloudDownloadCmd+cloudListCmd+cloudDeleteCmd

=== CLOUD UPLOAD-SPECIFIC FLAGS (cmd/cloud.go) ===
object-lock | bool | false | cloudUploadCmd
object-lock-mode | string | env:DBBACKUP_OBJECT_LOCK_MODE/"GOVERNANCE" | cloudUploadCmd
object-lock-days | int | env:DBBACKUP_OBJECT_LOCK_DAYS/30 | cloudUploadCmd

=== CLOUD DELETE-SPECIFIC FLAGS (cmd/cloud.go) ===
confirm | bool | false | cloudDeleteCmd

=== CLOUD STATUS FLAGS (cmd/cloud_status.go) ===
format | string | "table" | cloudStatusCmd
quick | bool | false | cloudStatusCmd

=== CLOUD SYNC FLAGS (cmd/cloud_sync.go) ===
dry-run | bool | false | cloudSyncCmd
delete | bool | false | cloudSyncCmd
newer-only | bool | false | cloudSyncCmd
database | string | "" | cloudSyncCmd
cloud-provider | string | env:DBBACKUP_CLOUD_PROVIDER/"s3" | cloudSyncCmd
cloud-bucket | string | env:DBBACKUP_CLOUD_BUCKET/"" | cloudSyncCmd
cloud-region | string | env:DBBACKUP_CLOUD_REGION/"us-east-1" | cloudSyncCmd
cloud-endpoint | string | env:DBBACKUP_CLOUD_ENDPOINT/"" | cloudSyncCmd
cloud-access-key | string | env/"" | cloudSyncCmd
cloud-secret-key | string | env/"" | cloudSyncCmd
cloud-prefix | string | env:DBBACKUP_CLOUD_PREFIX/"" | cloudSyncCmd
bandwidth-limit | string | env:DBBACKUP_BANDWIDTH_LIMIT/"" | cloudSyncCmd
verbose | bool | false | cloudSyncCmd

=== COMPRESSION ANALYZE FLAGS (cmd/compression.go) ===
quick | bool | false | compressionAnalyzeCmd
apply | bool | false | compressionAnalyzeCmd
output | string | "" | compressionAnalyzeCmd
no-cache | bool | false | compressionAnalyzeCmd

=== COST ANALYZE FLAGS (cmd/cost.go) ===
database | string | "" | costAnalyzeCmd
format | string | "table" | costAnalyzeCmd
region | string | "us-east-1" | costAnalyzeCmd
provider | string | "all" | costAnalyzeCmd
days | int | 30 | costAnalyzeCmd

=== CROSS-REGION SYNC FLAGS (cmd/cross_region_sync.go) ===
source-provider | string | env:DBBACKUP_SOURCE_PROVIDER/"s3" | crossRegionSyncCmd
source-bucket | string | env:DBBACKUP_SOURCE_BUCKET/"" | crossRegionSyncCmd
source-region | string | env:DBBACKUP_SOURCE_REGION/"" | crossRegionSyncCmd
source-endpoint | string | env:DBBACKUP_SOURCE_ENDPOINT/"" | crossRegionSyncCmd
source-access-key | string | env:DBBACKUP_SOURCE_ACCESS_KEY/"" | crossRegionSyncCmd
source-secret-key | string | env:DBBACKUP_SOURCE_SECRET_KEY/"" | crossRegionSyncCmd
source-prefix | string | env:DBBACKUP_SOURCE_PREFIX/"" | crossRegionSyncCmd
dest-provider | string | env:DBBACKUP_DEST_PROVIDER/"s3" | crossRegionSyncCmd
dest-bucket | string | env:DBBACKUP_DEST_BUCKET/"" | crossRegionSyncCmd
dest-region | string | env:DBBACKUP_DEST_REGION/"" | crossRegionSyncCmd
dest-endpoint | string | env:DBBACKUP_DEST_ENDPOINT/"" | crossRegionSyncCmd
dest-access-key | string | env:DBBACKUP_DEST_ACCESS_KEY/"" | crossRegionSyncCmd
dest-secret-key | string | env:DBBACKUP_DEST_SECRET_KEY/"" | crossRegionSyncCmd
dest-prefix | string | env:DBBACKUP_DEST_PREFIX/"" | crossRegionSyncCmd
dry-run | bool | false | crossRegionSyncCmd
delete | bool | false | crossRegionSyncCmd
newer-only | bool | false | crossRegionSyncCmd
parallel | int | 2 | crossRegionSyncCmd
database | string | "" | crossRegionSyncCmd
age | int | 0 | crossRegionSyncCmd

=== DEDUP PERSISTENT FLAGS (cmd/dedup.go - dedupCmd) ===
dedup-dir | string | "" | dedupCmd (PersistentFlags)
index-db | string | "" | dedupCmd (PersistentFlags)
compress | bool | true | dedupCmd (PersistentFlags)
encrypt | bool | false | dedupCmd (PersistentFlags)
key | string | "" | dedupCmd (PersistentFlags)

=== DEDUP BACKUP FLAGS (cmd/dedup.go - dedupBackupCmd) ===
name | string | "" | dedupBackupCmd
db-type | string | "" | dedupBackupCmd
db-name | string | "" | dedupBackupCmd
db-host | string | "" | dedupBackupCmd
decompress-input | bool | false | dedupBackupCmd

=== DEDUP PRUNE FLAGS (cmd/dedup.go - dedupPruneCmd) ===
keep-last | int | 0 | dedupPruneCmd
keep-daily | int | 0 | dedupPruneCmd
keep-weekly | int | 0 | dedupPruneCmd
dry-run | bool | false | dedupPruneCmd

=== DEDUP BACKUP-DB FLAGS (cmd/dedup.go - dedupBackupDBCmd) ===
db-type | string | "" | dedupBackupDBCmd
database | string | "" | dedupBackupDBCmd
host | string | "localhost" | dedupBackupDBCmd
user | string | "" | dedupBackupDBCmd
password | string | "" | dedupBackupDBCmd

=== DEDUP METRICS FLAGS (cmd/dedup.go - dedupMetricsCmd) ===
output | string | "" | dedupMetricsCmd
server | string | "" | dedupMetricsCmd

=== DIAGNOSE FLAGS (cmd/diagnose.go) ===
format | string | "table" | diagnoseCmd
auto-fix | bool | false | diagnoseCmd
check | string | "" | diagnoseCmd
verbose | bool | false | diagnoseCmd

=== DRILL RUN FLAGS (cmd/drill.go - drillRunCmd) ===
database | string | "" | drillRunCmd
type | string | "" | drillRunCmd
image | string | "" | drillRunCmd
port | int | 0 | drillRunCmd
timeout | int | 60 | drillRunCmd
rto | int | 300 | drillRunCmd
keep | bool | false | drillRunCmd
output | string | "" | drillRunCmd
format | string | "table" | drillRunCmd
verbose | bool | false | drillRunCmd
tables | string | "" | drillRunCmd
min-rows | int64 | 0 | drillRunCmd
validate | string | "" | drillRunCmd

=== DRILL QUICK FLAGS (cmd/drill.go - drillQuickCmd) ===
database | string | "" | drillQuickCmd
type | string | "" | drillQuickCmd
verbose | bool | false | drillQuickCmd

=== DRILL REPORT FLAGS (cmd/drill.go - drillReportCmd) ===
format | string | "table" | drillReportCmd

=== ENCRYPTION ROTATE FLAGS (cmd/encryption_rotate.go) ===
key-size | int | 256 | encryptionRotateCmd
output | string | "" | encryptionRotateCmd
show-reencrypt | bool | true | encryptionRotateCmd
format | string | "base64" | encryptionRotateCmd

=== ESTIMATE PERSISTENT FLAGS (cmd/estimate.go) ===
detailed | bool | false | estimateCmd (PersistentFlags)
json | bool | false | estimateCmd (PersistentFlags)

=== FORECAST FLAGS (cmd/forecast.go) ===
format | string | "table" | forecastCmd
all | bool | false | forecastCmd
days | int | 90 | forecastCmd
limit | string | "" | forecastCmd

=== HEALTH FLAGS (cmd/health.go) ===
format | string | "table" | healthCmd
verbose | bool | false | healthCmd
interval | string | "24h" | healthCmd
skip-db | bool | false | healthCmd

=== INSTALL FLAGS (cmd/install.go - installCmd) ===
instance | string | "" | installCmd
schedule | string | "daily" | installCmd
backup-type | string | "cluster" | installCmd
user | string | "dbbackup" | installCmd
group | string | "dbbackup" | installCmd
backup-dir | string | "/var/lib/dbbackup/backups" | installCmd
config-path | string | "/etc/dbbackup/dbbackup.conf" | installCmd
timeout | int | 3600 | installCmd
with-metrics | bool | false | installCmd
metrics-port | int | 9399 | installCmd
dry-run | bool | false | installCmd
status | bool | false | installCmd

=== UNINSTALL FLAGS (cmd/install.go - uninstallCmd) ===
purge | bool | false | uninstallCmd

=== MAN FLAGS (cmd/man.go) ===
output | string | "./man" | manCmd

=== METRICS EXPORT FLAGS (cmd/metrics.go - metricsExportCmd) ===
server | string | "" | metricsExportCmd
output | string | "/var/lib/dbbackup/metrics/dbbackup.prom" | metricsExportCmd
catalog-db | string | defaultCatalogPath | metricsExportCmd

=== METRICS SERVE FLAGS (cmd/metrics.go - metricsServeCmd) ===
server | string | "" | metricsServeCmd
port | int | 9399 | metricsServeCmd
catalog-db | string | defaultCatalogPath | metricsServeCmd

=== MIGRATE PERSISTENT FLAGS (cmd/migrate.go - migrateCmd) ===
source-host | string | "localhost" | migrateCmd (PersistentFlags)
source-port | int | 5432 | migrateCmd (PersistentFlags)
source-user | string | "" | migrateCmd (PersistentFlags)
source-password | string | "" | migrateCmd (PersistentFlags)
source-ssl-mode | string | "prefer" | migrateCmd (PersistentFlags)
target-host | string | "" | migrateCmd (PersistentFlags)
target-port | int | 5432 | migrateCmd (PersistentFlags)
target-user | string | "" | migrateCmd (PersistentFlags)
target-password | string | "" | migrateCmd (PersistentFlags)
target-ssl-mode | string | "prefer" | migrateCmd (PersistentFlags)
workdir | string | "" | migrateCmd (PersistentFlags)
clean | bool | false | migrateCmd (PersistentFlags)
confirm | bool | false | migrateCmd (PersistentFlags)
dry-run | bool | false | migrateCmd (PersistentFlags)
keep-backup | bool | false | migrateCmd (PersistentFlags)
jobs | int | 4 | migrateCmd (PersistentFlags)
verbose | bool | false | migrateCmd (PersistentFlags)

=== MIGRATE SINGLE FLAGS (cmd/migrate.go - migrateSingleCmd) ===
target-database | string | "" | migrateSingleCmd

=== MIGRATE CLUSTER FLAGS (cmd/migrate.go - migrateClusterCmd) ===
exclude | []string | [] | migrateClusterCmd

=== NOTIFY TEST FLAGS (cmd/notify.go) ===
message | string | "" | testNotifyCmd
verbose | bool | false | testNotifyCmd

=== PARALLEL RESTORE STATUS FLAGS (cmd/parallel_restore.go) ===
format | string | "text" | parallelRestoreStatusCmd

=== PARALLEL RESTORE BENCHMARK FLAGS (cmd/parallel_restore.go) ===
file | string | "" | parallelRestoreBenchmarkCmd

=== PARALLEL RESTORE SIMULATE FLAGS (cmd/parallel_restore.go) ===
file | string | "" | parallelRestoreSimulateCmd
jobs | int | 0 | parallelRestoreSimulateCmd

=== PITR ENABLE FLAGS (cmd/pitr.go - pitrEnableCmd) ===
archive-dir | string | "/var/backups/wal_archive" | pitrEnableCmd
force | bool | false | pitrEnableCmd

=== WAL ARCHIVE FLAGS (cmd/pitr.go - walArchiveCmd) ===
archive-dir | string | "" | walArchiveCmd
compress | bool | false | walArchiveCmd
encrypt | bool | false | walArchiveCmd
encryption-key-file | string | "" | walArchiveCmd
encryption-key-env | string | "DBBACKUP_ENCRYPTION_KEY" | walArchiveCmd

=== WAL LIST FLAGS (cmd/pitr.go - walListCmd) ===
archive-dir | string | "/var/backups/wal_archive" | walListCmd

=== WAL CLEANUP FLAGS (cmd/pitr.go - walCleanupCmd) ===
archive-dir | string | "/var/backups/wal_archive" | walCleanupCmd
retention-days | int | 7 | walCleanupCmd

=== WAL TIMELINE FLAGS (cmd/pitr.go - walTimelineCmd) ===
archive-dir | string | "/var/backups/wal_archive" | walTimelineCmd

=== BINLOG LIST FLAGS (cmd/pitr.go - binlogListCmd) ===
binlog-dir | string | "/var/lib/mysql" | binlogListCmd
archive-dir | string | "" | binlogListCmd

=== BINLOG ARCHIVE FLAGS (cmd/pitr.go - binlogArchiveCmd) ===
binlog-dir | string | "/var/lib/mysql" | binlogArchiveCmd
archive-dir | string | "/var/backups/binlog_archive" | binlogArchiveCmd
compress | bool | false | binlogArchiveCmd
encrypt | bool | false | binlogArchiveCmd
encryption-key-file | string | "" | binlogArchiveCmd

=== BINLOG WATCH FLAGS (cmd/pitr.go - binlogWatchCmd) ===
binlog-dir | string | "/var/lib/mysql" | binlogWatchCmd
archive-dir | string | "/var/backups/binlog_archive" | binlogWatchCmd
interval | string | "30s" | binlogWatchCmd
compress | bool | false | binlogWatchCmd

=== BINLOG VALIDATE FLAGS (cmd/pitr.go - binlogValidateCmd) ===
binlog-dir | string | "/var/lib/mysql" | binlogValidateCmd
archive-dir | string | "" | binlogValidateCmd

=== MYSQL PITR ENABLE FLAGS (cmd/pitr.go - mysqlPitrEnableCmd) ===
archive-dir | string | "/var/backups/binlog_archive" | mysqlPitrEnableCmd
retention-days | int | 7 | mysqlPitrEnableCmd
require-row-format | bool | true | mysqlPitrEnableCmd
require-gtid | bool | false | mysqlPitrEnableCmd

=== INTERACTIVE FLAGS (cmd/placeholder.go - interactiveCmd) ===
auto-select | int | -1 | interactiveCmd
auto-database | string | "" | interactiveCmd
auto-host | string | "" | interactiveCmd
auto-port | int | 0 | interactiveCmd
auto-confirm | bool | false | interactiveCmd
dry-run | bool | false | interactiveCmd
verbose-tui | bool | false | interactiveCmd
tui-debug | bool | false | interactiveCmd
tui-log-file | string | "" | interactiveCmd

=== PROFILE FLAGS (cmd/profile.go) ===
database | string | "" | profileCmd
host | string | "localhost" | profileCmd
port | int | 5432 | profileCmd
user | string | "" | profileCmd
password | string | "" | profileCmd
sslmode | string | "prefer" | profileCmd
json | bool | false | profileCmd

=== PROGRESS WEBHOOKS ENABLE FLAGS (cmd/progress_webhooks.go) ===
interval | duration | 30s | progressWebhooksEnableCmd

=== PROGRESS WEBHOOKS STATUS FLAGS (cmd/progress_webhooks.go) ===
format | string | "text" | progressWebhooksStatusCmd

=== PROGRESS WEBHOOKS TEST FLAGS (cmd/progress_webhooks.go) ===
interval | duration | 5s | progressWebhooksTestCmd

=== REPORT GENERATE FLAGS (cmd/report.go - reportGenerateCmd) ===
type | string | "soc2" | reportGenerateCmd
days | int | 90 | reportGenerateCmd
start | string | "" | reportGenerateCmd
end | string | "" | reportGenerateCmd
format | string | "markdown" | reportGenerateCmd
output | string | "" | reportGenerateCmd
catalog | string | "" | reportGenerateCmd
title | string | "" | reportGenerateCmd
evidence | bool | true | reportGenerateCmd

=== REPORT SUMMARY FLAGS (cmd/report.go - reportSummaryCmd) ===
type | string | "soc2" | reportSummaryCmd
days | int | 90 | reportSummaryCmd
catalog | string | "" | reportSummaryCmd

=== RESTORE SINGLE FLAGS (cmd/restore.go - restoreSingleCmd) ===
confirm | bool | false | restoreSingleCmd
dry-run | bool | false | restoreSingleCmd
force | bool | false | restoreSingleCmd
clean | bool | false | restoreSingleCmd
create | bool | false | restoreSingleCmd
target | string | "" | restoreSingleCmd
profile | string | "balanced" | restoreSingleCmd
restore-mode | string | "safe" | restoreSingleCmd
restore-fsync-mode | string | "on" | restoreSingleCmd
tiered-restore | bool | false | restoreSingleCmd
critical-tables | []string | nil | restoreSingleCmd
important-tables | []string | nil | restoreSingleCmd
cold-tables | []string | nil | restoreSingleCmd
pipeline | bool | false | restoreSingleCmd
verbose | bool | false | restoreSingleCmd
no-progress | bool | false | restoreSingleCmd
no-tui | bool | false | restoreSingleCmd
adaptive | bool | true | restoreSingleCmd
skip-disk-check | bool | false | restoreSingleCmd
disk-space-multiplier | float64 | 0 | restoreSingleCmd
quiet | bool | false | restoreSingleCmd
jobs | int | 0 | restoreSingleCmd
encryption-key-file | string | "" | restoreSingleCmd
encryption-key-env | string | "DBBACKUP_ENCRYPTION_KEY" | restoreSingleCmd
diagnose | bool | false | restoreSingleCmd
save-debug-log | string | "" | restoreSingleCmd
debug-locks | bool | false | restoreSingleCmd
native | bool | false | restoreSingleCmd
fallback-tools | bool | false | restoreSingleCmd
auto | bool | true | restoreSingleCmd
workers | int | 0 | restoreSingleCmd
pool-size | int | 0 | restoreSingleCmd
buffer-size | int | 0 | restoreSingleCmd
batch-size | int | 0 | restoreSingleCmd

=== RESTORE CLUSTER FLAGS (cmd/restore.go - restoreClusterCmd) ===
list-databases | bool | false | restoreClusterCmd
database | string | "" | restoreClusterCmd
databases | string | "" | restoreClusterCmd
output-dir | string | "" | restoreClusterCmd
confirm | bool | false | restoreClusterCmd
dry-run | bool | false | restoreClusterCmd
force | bool | false | restoreClusterCmd
clean-cluster | bool | false | restoreClusterCmd
profile | string | "conservative" | restoreClusterCmd
restore-mode | string | "safe" | restoreClusterCmd
restore-fsync-mode | string | "on" | restoreClusterCmd
tiered-restore | bool | false | restoreClusterCmd
critical-tables | []string | nil | restoreClusterCmd
important-tables | []string | nil | restoreClusterCmd
cold-tables | []string | nil | restoreClusterCmd
jobs | int | 0 | restoreClusterCmd
parallel-dbs | int | 0 | restoreClusterCmd
adaptive | bool | true | restoreClusterCmd
skip-disk-check | bool | false | restoreClusterCmd
workdir | string | "" | restoreClusterCmd
disk-space-multiplier | float64 | 0 | restoreClusterCmd
pipeline | bool | false | restoreClusterCmd
verbose | bool | false | restoreClusterCmd
no-progress | bool | false | restoreClusterCmd
no-tui | bool | false | restoreClusterCmd
quiet | bool | false | restoreClusterCmd
encryption-key-file | string | "" | restoreClusterCmd
encryption-key-env | string | "DBBACKUP_ENCRYPTION_KEY" | restoreClusterCmd
diagnose | bool | false | restoreClusterCmd
save-debug-log | string | "" | restoreClusterCmd
debug-locks | bool | false | restoreClusterCmd
clean | bool | false | restoreClusterCmd
create | bool | false | restoreClusterCmd
oom-protection | bool | false | restoreClusterCmd
low-memory | bool | false | restoreClusterCmd
native | bool | false | restoreClusterCmd
fallback-tools | bool | false | restoreClusterCmd
auto | bool | true | restoreClusterCmd
workers | int | 0 | restoreClusterCmd
pool-size | int | 0 | restoreClusterCmd
buffer-size | int | 0 | restoreClusterCmd
batch-size | int | 0 | restoreClusterCmd

